"","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Agg.Entropy..bits.","Avg.Entropy..bits.","BW.90...Hz.","Center.Freq..Hz.","Delta.Time..s.","Freq.5...Hz.","Freq.95...Hz.","Max.Freq..Hz.","Begin.File","Begin.Path","Signal.Type","song.analyzed","num.notes","num.unique.notes","buzzy.or.clear","Song.ID.1","Source"
"28",1,"Waveform 1",1,85.19873493,86.64374907,3741.2,7482.3,NA,NA,NA,NA,1.445,NA,NA,NA,"10030_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10030_44k.wav","song","9",16,5,"clear","10030","Macauley Library"
"29",1,"Spectrogram 1",1,85.19873493,86.64374907,3741.2,7482.3,3.696,2.945,1292,5254.1,1.445,4823.4,6115.4,5254.1,"10030_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10030_44k.wav","song","9",16,5,"clear","10030","Macauley Library"
"30",1,"Selection Spectrum 1",1,85.19873493,86.64374907,3741.2,7482.3,3.698,3.698,1292,5254.1,1.445,4823.4,6115.4,5254.1,"10030_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10030_44k.wav","song","9",16,5,"clear","10030","Macauley Library"
"31",3,"Waveform 1",1,6.996967065,8.222458403,3817.5,7329.6,NA,NA,NA,NA,1.225,NA,NA,NA,"10030_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10030_44k.wav","song","1",13,5,"clear","10030","Macauley Library"
"32",3,"Spectrogram 1",1,6.996967065,8.222458403,3817.5,7329.6,3.766,2.855,1292,5254.1,1.225,4737.3,6029.3,5254.1,"10030_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10030_44k.wav","song","1",13,5,"clear","10030","Macauley Library"
"33",3,"Selection Spectrum 1",1,6.996967065,8.222458403,3817.5,7329.6,3.766,3.766,1292,5254.1,1.225,4737.3,6029.3,5254.1,"10030_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10030_44k.wav","song","1",13,5,"clear","10030","Macauley Library"
"34",4,"Waveform 1",1,64.02762412,65.32238236,3817.5,7482.3,NA,NA,NA,NA,1.295,NA,NA,NA,"10030_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10030_44k.wav","song","7",14,5,"clear","10030","Macauley Library"
"35",4,"Spectrogram 1",1,64.02762412,65.32238236,3817.5,7482.3,3.648,2.961,1292,5254.1,1.295,4651.2,5943.2,4823.4,"10030_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10030_44k.wav","song","7",14,5,"clear","10030","Macauley Library"
"36",4,"Selection Spectrum 1",1,64.02762412,65.32238236,3817.5,7482.3,3.659,3.659,1292,5254.1,1.295,4651.2,5943.2,4823.4,"10030_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/10030_44k.wav","song","7",14,5,"clear","10030","Macauley Library"
"37",1,"Waveform 1",1,34.30602899,35.65941473,3434.4,8592.9,NA,NA,NA,NA,1.353,NA,NA,NA,"22965_44k.wav","/Users/irwinlab/Documents/TOWA song analysis ORE/Macauley Library/22965_44k.wav","song","4",14,5,"clear","22965","Macauley Library"
