"","sound.files","selec","start","end"
"975","SRE29M06.WAV.wav",2,65.63616652,66.75285111
"978","SRE29M06.WAV.wav",4,75.26375098,76.52018441
"990","SRE29M09_2.WAV.wav",1,36.18380533,37.28757984
"993","SRE29M09_2.WAV.wav",2,64.03944137,65.3673219
"996","SRE29M09_2.WAV.wav",3,103.7320168,104.9094109
"999","SRE30M01.WAV.wav",1,38.61707597,39.92009569
"1002","SRE30M01.WAV.wav",2,48.71110222,49.82702735
"1005","SRE30M01.WAV.wav",3,72.97707277,74.23248853
"1008","SRE30M02.WAV.wav",1,30.92059452,32.2715216
"1011","SRE30M02.WAV.wav",2,97.09207403,98.58012635
"1014","SRE30M02.WAV.wav",3,126.455105,127.7933645
"1017","SRE30M03_1.WAV.wav",1,27.82725324,29.21584533
"1020","SRE30M03_1.WAV.wav",2,67.13715554,68.77766035
"1023","SRE30M03_2.WAV.wav",1,50.54080589,51.96801425
"1026","SRE31M01.WAV.wav",1,16.82383891,18.13140269
"1029","SRE31M01.WAV.wav",2,72.87930597,74.17644535
"1032","SRE31M01.WAV.wav",3,150.7588505,152.245637
"1035","SRE31M02_1.WAV.wav",1,22.28944985,23.65336109
"1038","SRE31M02_1.WAV.wav",2,69.17639738,70.67159217
"1041","SRE31M02_2.WAV.wav",1,22.72161267,24.19137099
"1053","SRF02M02.WAV.wav",1,10.58507616,11.9119948
"1056","SRF02M02.WAV.wav",2,52.13746333,53.51405388
"1059","SRF02M02.WAV.wav",3,81.4655585,82.58463759
"1062","SRF05M01.WAV.wav",1,78.4537789,79.20213401
"1065","SRF05M01.WAV.wav",2,139.0795971,140.142508
"1068","SRF05M01.WAV.wav",3,88.44064035,89.77493284
"1071","SRF05M02.WAV.wav",1,21.86029135,22.69918458
"1074","SRF05M02.WAV.wav",2,76.14468314,77.567636
"1077","SRF05M02.WAV.wav",3,66.71819893,67.85624465
"1089","SRF06M03.WAV.wav",1,23.52404845,25.00100548
"1092","SRF06M03.WAV.wav",3,67.56655707,69.21749036
"1095","SRF06M03.WAV.wav",6,7.464385703,9.096739522
"1098","SRF06M04.WAV.wav",1,13.07340149,14.64387129
"1101","SRF06M04.WAV.wav",2,114.5085714,115.8918424
"1104","SRF06M04.WAV.wav",3,163.1822266,164.6801225
"1125","SRF07M01.WAV.wav",1,61.63216142,63.02947686
"1128","SRF07M01.WAV.wav",2,102.9041292,104.3276192
"1131","SRF07M01.WAV.wav",3,187.9606397,189.5170156
"1134","SRF07M02.WAV.wav",1,12.83813911,14.20323978
"1137","SRF07M02.WAV.wav",2,127.2698281,128.8624455
"1140","SRF07M02.WAV.wav",3,181.8890695,183.2614409
"1188","SRF08M05.WAV.wav",1,1.660847552,2.832855002
"1191","SRF08M05.WAV.wav",2,101.1220402,102.5331792
"1194","SRF08M05.WAV.wav",3,240.4407201,241.5549155
"1206","SRF08M08.WAV.wav",1,98.45686717,100.1090144
"1209","SRF08M08.WAV.wav",2,148.3347905,149.9579527
"1212","SRF08M08.WAV.wav",3,202.8106566,204.4940185
"1215","SRF08M09.WAV.wav",1,64.46774364,65.50363595
"1218","SRF08M09.WAV.wav",2,77.57959159,78.67128613
"1221","SRF08M09.WAV.wav",3,138.8355681,139.7202871
"1224","SRF08M10.WAV.wav",1,58.55752088,60.09071641
"1227","SRF08M10.WAV.wav",2,193.7246406,195.2425297
"1230","SRF08M10.WAV.wav",3,227.4737703,228.8028799
"1251","SRF10M02_2.WAV.wav",1,62.77668201,64.12602105
"1254","SRF10M02_2.WAV.wav",2,35.9909973,37.49170451
"1257","SRF10M02_2.WAV.wav",4,70.95810004,72.30743908
"1260","SRF10M03.WAV.wav",1,157.1310065,158.5662714
"1263","SRF10M03.WAV.wav",2,173.9385265,175.524443
"1266","SRF10M03.WAV.wav",3,214.4514248,215.9713616
"1269","SRF10M04_1.WAV.wav",1,193.7046242,195.060128
"1272","SRF10M04_1.WAV.wav",2,256.7617142,258.0574804
"1275","SRF10M04_1.WAV.wav",3,142.7285036,144.0576014
"1287","SRF10M05_2.WAV.wav",1,1.616679475,2.909413044
"1290","SRF10M05_2.WAV.wav",2,19.90643408,21.16871782
"1293","SRF10M05_2.WAV.wav",3,35.64095261,36.97520867
"1296","SRF10M06.WAV.wav",1,156.3766889,158.0694704
"1299","SRF10M06.WAV.wav",3,76.8670065,78.69739163
